epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.834,3.11517,29.6352,3.16297,0,0,0,0,0,0,0,0.0004,0.0004,0.0004
2,276.67,1.45964,9.178,1.77485,0,0,0,0,0,0,0,0.000803764,0.000803764,0.000803764
3,408.025,1.21929,6.60304,1.608,0,0,0,0,0,0,0,0.0011909,0.0011909,0.0011909
4,537.576,1.15775,5.06335,1.54129,0,0,0,0,0,0,0,0.0015614,0.0015614,0.0015614
5,670.607,1.33818,3.54831,1.52328,0,0,0,0,0,0,0,0.0018416,0.0018416,0.0018416
6,796.562,1.22838,2.61417,1.56173,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,943.839,1.10536,1.85626,1.51531,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,1076.03,1.05037,1.50062,1.55322,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,1203.56,1.09627,1.28959,1.60405,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,1350.04,1.06309,1.08365,1.45591,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,1480.71,1.0708,0.93948,1.499,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,1607.36,1.01866,0.89057,1.51948,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,1755.39,0.95419,0.83119,1.40727,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,1897.35,0.9132,0.78474,1.48072,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,2027.4,0.85148,0.72712,1.39368,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,2172.03,0.8497,0.71561,1.40469,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,2313.92,0.86012,0.67578,1.34919,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,2440.85,0.8505,0.66898,1.3656,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,2567.28,0.83924,0.63177,1.32705,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,2695.15,0.81382,0.61352,1.3249,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,2837.73,0.84856,0.60662,1.32941,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,2964.58,0.81746,0.58927,1.30805,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,3110.23,0.79202,0.56874,1.26862,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,3242.08,0.79985,0.56712,1.24488,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,3383.74,0.79262,0.56806,1.28889,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,3529.77,0.74297,0.54073,1.25743,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,3671.46,0.73156,0.53456,1.2151,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,3796.61,0.71232,0.52496,1.18611,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,3944.33,0.69934,0.517,1.20966,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,4085.32,0.72289,0.53236,1.25773,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
