epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.467,3.53713,38.273,3.36721,0,0,0,0,2.75331,20.9266,3.09951,4e-05,4e-05,4e-05
2,421.008,3.42105,30.1152,3.16503,0.00333,0.05263,0.0019,0.00019,2.60143,16.7271,3.11201,9.802e-05,9.802e-05,9.802e-05
3,634.999,2.54161,18.107,2.4957,0.00667,0.10526,0.00574,0.00207,1.76233,13.0588,2.34324,0.000153664,0.000153664,0.000153664
4,837.966,1.85093,14.488,1.9146,0.00667,0.10526,0.01914,0.01206,1.36854,10.4656,2.07854,0.000206932,0.000206932,0.000206932
5,1036.91,1.36565,12.0873,1.59641,0.57398,0.10526,0.09132,0.05002,1.5591,10.5033,1.93754,0.000257824,0.000257824,0.000257824
6,1238.66,1.15283,9.67881,1.53332,0.63292,0.10526,0.09132,0.06958,1.29642,10.198,1.84543,0.00030634,0.00030634,0.00030634
7,1433.29,1.12935,7.2455,1.55537,0.86656,0.10526,0.10798,0.08639,1.17091,8.19676,1.88513,0.00035248,0.00035248,0.00035248
8,1627.1,1.03543,7.71331,1.40884,0.91986,0.10526,0.10798,0.09204,1.20421,6.99039,2.026,0.000396244,0.000396244,0.000396244
9,1818.86,0.97711,6.65689,1.38287,0.96558,0.10526,0.10798,0.09719,1.10557,5.67274,1.89893,0.000437632,0.000437632,0.000437632
10,2007.37,1.05037,6.93855,1.40702,0.97567,0.10526,0.10798,0.10284,1.08646,5.16704,1.86331,0.000476644,0.000476644,0.000476644
11,2195.48,0.91156,7.25316,1.40412,0.97884,0.10526,0.10798,0.09719,1.12703,4.91742,1.92204,0.00051328,0.00051328,0.00051328
12,2384.51,0.92939,6.40394,1.36876,0.97978,0.10526,0.10798,0.09719,1.12546,4.68373,2.00504,0.00054754,0.00054754,0.00054754
13,2574.12,0.9401,5.76374,1.37236,0.98123,0.10526,0.10798,0.09204,1.13684,4.50102,1.91551,0.000579424,0.000579424,0.000579424
14,2758.17,0.85106,5.23268,1.31363,0.98108,0.10526,0.10798,0.08125,1.16269,4.47361,1.912,0.000608932,0.000608932,0.000608932
15,2944.21,0.92247,5.1838,1.30156,0.99082,0.26316,0.26805,0.20811,1.08169,3.60697,1.83915,0.000636064,0.000636064,0.000636064
16,3132.94,0.93488,4.89931,1.32681,0.99076,0.26316,0.26805,0.19715,1.08503,3.55785,1.91534,0.00066082,0.00066082,0.00066082
17,3322.66,0.90429,4.25896,1.28406,0.99275,0.36842,0.36946,0.26542,1.15895,3.43402,2.08505,0.0006832,0.0006832,0.0006832
18,3509.76,0.83815,3.38895,1.37536,0.99285,0.36842,0.36686,0.28018,0.91704,3.01246,1.73863,0.000703204,0.000703204,0.000703204
19,3698.67,0.87316,3.57485,1.1755,0.99336,0.42105,0.46284,0.3474,0.89223,2.69293,1.67181,0.000720832,0.000720832,0.000720832
